@relation user

@attribute yelping_since string
@attribute compliments.plain numeric
@attribute compliments.more numeric
@attribute elite numeric
@attribute compliments.cute numeric
@attribute compliments.writer numeric
@attribute fans numeric
@attribute compliments.note numeric
@attribute compliments.hot numeric
@attribute compliments.cool numeric
@attribute compliments.profile numeric
@attribute average_stars numeric
@attribute review_count numeric
@attribute friends numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute compliments.list numeric
@attribute votes.funny numeric
@attribute compliments.photos numeric
@attribute compliments.funny numeric
@attribute votes.useful numeric

@data
2011-01-01,2,?,2,?,?,1,1,1,6,?,3.9,131,7,MDiCwtVo-Aq9cD5bAKd8Lw,22,?,12,?,?,78
2012-08-01,?,?,?,?,?,0,?,?,?,?,3,1,?,wC8r-m6KHifL6R2i8ok8yg,0,?,0,?,?,2
2011-03-01,?,?,?,?,1,0,?,?,?,?,4.35,19,?,ibeYRWmFst05FZfo5vo_aQ,2,?,0,?,?,9
2011-02-01,?,?,?,?,?,1,?,?,?,?,5,6,7,I7dYsjvl3b66gL4KhOjVIw,0,?,2,?,?,2
2012-04-01,?,?,?,?,?,0,?,?,?,?,5,1,?,rWEDVOMa0X4Qhw4wropxig,0,?,0,?,?,0
2008-02-01,129,10,?,13,10,5,88,94,143,6,3.48,91,53,TCqjsTEPFLfjdCxI2Zq1WQ,115,8,142,11,110,160
2011-10-01,8,1,?,?,6,1,8,5,7,?,4.15,75,20,SEJWhA6MRIavK4b3pGxwTg,55,?,23,1,1,100
2009-01-01,?,?,?,?,?,0,?,?,?,?,2.1,10,?,QSRCc7ip7DqRnUT0gJ6q_g,6,?,18,?,?,50
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,OtpHvQFGbZ4sONaQAXankg,69,?,52,1,2,179
2007-05-01,?,?,?,?,?,0,?,?,?,?,3.31,13,1,BD4IhPuK-DwGBQb3RzQDcQ,0,?,2,?,?,10
2012-02-01,?,?,?,?,?,0,?,?,?,?,3.81,16,?,6ViJPCbqIAIq5HPy7anIEw,0,?,2,?,?,13
2010-07-01,1,?,?,?,?,0,?,?,?,?,3.88,25,?,pgKOL4k5tWCWS9VIc33EoQ,3,?,4,?,?,15
2006-06-01,28,9,5,3,17,33,19,20,35,?,4.08,850,42,Ue3hmkbr-pVaiqiCnxInQg,1299,15,545,1,8,1714
2011-07-01,?,1,?,?,?,1,?,?,?,?,3.55,11,1,tYwzsMLMc8juCuIMDAx3dw,2,?,3,?,?,15
