@relation yelp_academic_dataset_review_training
@attribute business_id string
@attribute user_id string
@attribute stars numeric

@data
W2WeP2Hp20tq0RG1NFko,plaWX2Ud7lCGDfcScy9B,1.0
W2WeP2Hp20tq0RG1NFko,ZZoUCBoxdKGtiY9x-hnK,1.0
W2WeP2Hp20tq0RG1NFko,T2Dr5fnsWDmudQM1Hhy7,5.0
5p9Xg358BezJyk1wqzzy,cNncIDyL4RRRVGFUi4ck,3.0
5p9Xg358BezJyk1wqzzy,SpVLn2FV2V_ORdugExiI,2.0
5p9Xg358BezJyk1wqzzy,E24BdF_JWLFV34Hr5cHL,2.0
dAdANPNOcvUtoFgcaY9K,Yaumz29bl9qHpu-KVtMG,4.0
dAdANPNOcvUtoFgcaY9K,ueYG7VZjO5HjJz9DD3Ys,4.0
dAdANPNOcvUtoFgcaY9K,SlKnryLlnD3mvmG6DIyC,3.0
dAdANPNOcvUtoFgcaY9K,VW_8tSvxMgIOaTeOvtte,4.0
dAdANPNOcvUtoFgcaY9K,esMv1-cXnN8F-TCugisK,3.0
dAdANPNOcvUtoFgcaY9K,L7XG25E24mErfg9sZ_-w,4.0
dAdANPNOcvUtoFgcaY9K,v6lq527bHVW1EbrqzZXa,5.0
dAdANPNOcvUtoFgcaY9K,WEDVOMa0X4Qhw4wropxi,5.0
dAdANPNOcvUtoFgcaY9K,MMx7b5IBhWtm4EKKL8un,4.0
dAdANPNOcvUtoFgcaY9K,TzVMsr5Pre2ZPtlUwWh8,4.0
dAdANPNOcvUtoFgcaY9K,yLRVxHgnCQ5taPJ4cl0-,3.0
dAdANPNOcvUtoFgcaY9K,b_wzWO8pIA42NFneY4kA,4.0
dAdANPNOcvUtoFgcaY9K,hCE1r5RPWN3Q0GveOx6k,4.0
dAdANPNOcvUtoFgcaY9K,xf2ECTRftPV4bzK4mGYE,4.0
dAdANPNOcvUtoFgcaY9K,ohPF8fo5ifWiMOrEPrC8,3.0
dAdANPNOcvUtoFgcaY9K,BBarVpwP94MsS63W4KKZ,5.0
dAdANPNOcvUtoFgcaY9K,MYEMoBDkhNj76KA_hzEy,5.0
dAdANPNOcvUtoFgcaY9K,beYRWmFst05FZfo5vo_a,5.0
dAdANPNOcvUtoFgcaY9K,Rko0-SaRcSaP5gR-5uxu,2.0
lhAvs_6ryi4_efZ1SpMb,3XTZwRHFLGjAdpN3YCm5,4.0
lhAvs_6ryi4_efZ1SpMb,9W6whtG5GagjzJ4yrRvq,5.0
