@relation user

@attribute yelping_since string
@attribute compliments.plain numeric
@attribute compliments.more numeric
@attribute elite numeric
@attribute compliments.cute numeric
@attribute compliments.writer numeric
@attribute fans numeric
@attribute compliments.note numeric
@attribute compliments.hot numeric
@attribute compliments.cool numeric
@attribute compliments.profile numeric
@attribute average_stars numeric
@attribute review_count numeric
@attribute friends numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute compliments.list numeric
@attribute votes.funny numeric
@attribute compliments.photos numeric
@attribute compliments.funny numeric
@attribute votes.useful numeric

@data
2009-12-01,87,3,2,2,34,20,22,33,40,1,3.92,303,31,vEc7evQDo09ttI3HA9655Q,281,14,418,2,15,540
2009-10-01,7,?,?,?,2,6,4,?,?,?,3.26,94,4,RueYG7VZjO5HjJz9DD3YsA,33,?,66,?,3,192
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,RvweNJFVkR3ttkWsIBy7nQ,141,?,94,3,1,419
2009-07-01,1,?,?,?,1,0,?,?,?,?,3.12,24,?,RdufJ-Wl0abkMOlE2WNaLw,5,?,5,?,?,26
2008-09-01,42,2,2,1,21,7,19,33,38,2,3.67,124,60,_ohPF8fo5ifWiMOrEPrC8Q,142,?,85,2,7,231
2011-02-01,1,?,?,?,2,0,1,?,?,?,3.65,225,8,jE5xVugujSaskAoh2DRx3Q,29,?,36,1,1,135
2009-04-01,1,?,?,?,?,0,?,?,?,?,1.91,13,?,H1kH6QZV7Le4zqTRNxoZow,2,?,1,?,?,17
2010-01-01,24,3,3,1,16,7,22,11,46,4,3.77,225,30,hhVKwwMkejIS9f5_OILtBw,152,?,83,1,5,281
2009-04-01,1,1,1,?,1,1,4,2,3,1,2.97,80,4,1m7w8LthojiGt5sEmCgatg,26,?,32,?,2,132
2012-09-01,?,?,?,?,?,0,?,?,?,?,3.11,12,?,4ih20jNIEPIkhkh-uxeyAg,0,?,0,?,?,7
2012-05-01,?,?,?,?,?,0,?,?,?,?,5,1,?,k_M8LHAb-eJiMJ8dohrEyw,0,?,0,?,?,0
2012-06-01,?,?,?,?,?,0,?,?,?,?,5,2,?,xIbUUfdIZJ8wOlp_Aa6m_w,0,?,0,?,?,2
2009-07-01,?,?,?,?,?,2,?,?,?,?,4.12,8,14,ae-liuNOw35td5AU8uOG6A,1,?,0,?,?,6
2008-05-01,12,3,?,?,3,3,2,1,5,?,3.6,132,8,uSlKnryLlnD3mvmG6DIyCg,138,?,123,?,2,297
2012-11-01,?,?,?,?,?,0,?,?,?,?,3,4,1,fVkYELANscaNkQq-x2OAeQ,0,?,1,?,?,6
2009-03-01,?,?,?,?,?,0,?,?,?,?,3.33,49,?,b6zxvmCa1a-ggWxObSweZw,6,?,11,?,?,66
2010-06-01,?,?,?,?,?,0,?,?,?,?,4.29,8,?,SE24BdF_JWLFV34Hr5cHLQ,1,?,5,?,?,4
2011-10-01,24,4,3,2,22,10,27,17,26,?,4.15,135,44,6rMHhS3Hf_Ofn1hYaxaUgQ,179,1,68,11,6,314
2010-11-01,94,7,2,4,21,21,44,35,49,1,3.92,116,11,wTQHOi_-h1a02clSKCntzA,192,4,190,11,16,289
2007-01-01,25,6,5,2,11,24,17,28,44,1,3.75,535,38,nqs6Avj7bfyavMUHO0XVBg,327,?,269,5,34,636
2006-10-01,10,4,6,?,6,9,10,6,11,1,3.61,403,35,aYhKsAUQaaRGgdgcZC5XAw,137,1,140,1,2,432
2010-10-01,?,?,?,?,?,0,?,?,?,?,4.31,16,?,LVW_8tSvxMgIOaTeOvtteA,1,?,0,?,?,15
2011-10-01,1,?,?,?,?,0,?,1,1,?,3.85,13,1,zDeT5NCJQi0jxGqo2e_KPw,8,?,5,?,?,24
2012-02-01,?,?,?,?,?,0,1,?,1,?,3.29,39,?,lI9O3GZm72B94WudEYkp6w,3,?,8,?,?,21
2010-03-01,8,3,4,?,13,7,4,8,27,2,3.85,226,23,Jpb5uSnlLKD4RJzk7UGwkQ,77,?,81,?,6,177
2011-06-01,?,?,?,?,?,0,?,?,?,?,3.86,21,?,wesMv1-cXnN8F-TCugisKA,2,?,0,?,?,5
2010-07-01,5,3,4,?,?,2,?,1,5,?,3.6,121,10,bafakbBFSIkpafZts10TTw,41,?,50,?,2,114
2011-06-01,?,?,?,?,?,0,?,?,?,?,4.58,20,1,PMMx7b5IBhWtm4EKKL8ung,5,?,4,?,?,8
2009-01-01,?,1,1,?,?,1,?,?,?,?,3.87,82,6,idQx85xfiIm_SGTnDsaXcQ,134,?,227,1,?,135
2012-02-01,1,?,?,?,?,0,?,?,1,?,2.55,13,?,KBLW4wJA_fwoWmMhiHRVOA,1,?,4,?,?,12
2012-11-01,?,?,?,?,?,0,?,?,?,?,4.4,5,1,S4hxgsxvNmjv8dxIaI7Vyg,3,?,1,?,?,4
2011-07-01,15,4,4,1,26,4,31,17,32,?,3.61,336,20,bfww9ItvUBeRsFQ4UD4eaw,316,1,207,?,2,737
2007-03-01,3,?,?,?,1,2,3,1,3,?,3.71,115,7,AC4-bAcxK_E1nwUPaYYqmQ,61,?,71,?,2,116
2014-02-01,?,?,?,?,?,0,?,?,?,?,5,1,?,WLqxkkd-jJ4cuoyqRBTw_w,0,?,0,?,?,2
2012-09-01,?,?,?,?,?,0,?,?,?,?,3,3,?,MwXOgU4sB7QBgg0FOz35OQ,2,?,1,?,?,6
2008-10-01,2,?,?,?,2,0,1,?,1,?,3.51,49,?,4AGRXB5C588iitXZY-y3wQ,17,?,22,?,?,91
2012-10-01,?,?,?,?,?,0,1,?,?,?,3.8,5,?,WsGQfLLy3YlP_S9jBE3j1w,0,?,0,?,?,0
2008-10-01,1,1,1,?,2,2,?,?,3,?,3.88,79,?,qOYI9O0ecMJ9VaqcM9phNw,22,?,12,?,?,72
2012-09-01,?,?,?,?,?,0,?,?,?,?,1,1,?,QYYVQMpKwrhjdLMY3q1EXA,0,?,0,?,?,0
2010-07-01,5,?,?,1,1,3,2,1,4,?,4.05,79,6,qGux2C8XzxDxSNgyR5YpDg,66,?,137,?,4,97
2007-08-01,3,?,?,?,2,3,4,?,?,?,3.36,267,3,QP-MdjpUFejr9apuAWcfQg,40,?,96,?,1,309
2010-04-01,?,?,?,?,?,1,?,?,?,?,4.78,21,2,u5xcw6LCnnMhddoxkRIgUA,1,?,1,?,?,14
2010-05-01,?,?,?,?,?,0,?,?,?,?,3.52,39,2,tpd1sxBuNgRaJcEYUQL2PQ,6,?,7,?,?,89
2008-04-01,17,3,?,?,2,7,3,5,8,1,3.7,86,15,_cOXx98-ZiOgxjib-ZdYGA,119,?,157,2,5,185
2013-09-01,?,?,?,?,?,0,?,?,?,?,2.25,4,?,U7GHbP9OynNHOqisXy7Icw,0,?,0,?,?,4
2013-04-01,?,?,?,?,?,0,?,?,?,?,1,1,?,Qrs3EICADUKNFoUq2iHStA,0,?,0,?,?,4
2013-06-01,?,?,?,?,?,0,?,?,?,?,3.33,4,?,BY9Eyuam4yTP4J2G0jHIyg,0,?,0,?,?,2
2008-04-01,?,?,?,?,2,0,?,?,?,?,3.41,16,1,4d1HPQHoQnqS8uoZcDLUDg,1,?,13,?,?,23
2010-07-01,?,?,?,?,?,0,?,?,1,?,3.17,29,1,MPKMK36Xp0GuaWaXlUwZ8Q,7,?,27,?,?,62
2009-07-01,17,3,5,?,2,7,12,6,10,1,4.16,317,17,Au3Qs-AAZEWu2_4gIMwRgw,119,?,121,?,6,383
2011-02-01,?,?,?,?,1,0,?,?,?,?,3.67,40,?,YFWfdR8v3wEoezv-IogLPQ,4,?,7,?,?,28
2008-07-01,1,2,1,2,7,3,5,8,3,?,3.64,41,8,13XTZwRHFLGjAdpN3YCm5Q,35,?,15,?,1,120
2011-07-01,?,?,?,?,?,0,?,?,?,?,3.67,3,?,TF9woBMrU3THfrGXo038fA,0,?,2,?,?,1
2011-08-01,?,?,1,?,2,4,3,1,2,?,4.39,44,3,rL7XG25E24mErfg9sZ_-wA,11,?,5,?,?,47
2012-12-01,?,?,?,?,?,1,?,?,?,?,3.88,24,?,lcNncIDyL4RRRVGFUi4ckw,5,?,1,?,?,18
2010-10-01,3,1,2,?,3,2,5,1,2,?,3.9,65,1,reI1yQImDR-1a55zVZZPHQ,16,?,4,?,1,59
2009-10-01,1,?,?,?,?,1,?,?,?,?,3.89,18,?,DBp9UzN6WyaFhqzTn7dXIw,7,?,7,?,?,20
2006-12-01,21,5,7,3,14,21,16,24,21,1,3.71,267,14,Xqd0DzHaiyRqVH3WRG7hzg,363,14,117,1,6,462
2011-01-01,3,2,?,?,2,1,6,?,1,?,3.94,65,3,1b_wzWO8pIA42NFneY4kAA,58,1,92,?,2,113
2012-02-01,?,?,?,?,?,0,?,?,1,?,2.67,3,?,5SpVLn2FV2V_ORdugExiIg,0,?,0,?,?,2
2008-02-01,1,2,?,?,4,7,1,?,?,1,2.6,155,7,6kp815UUjK--ukUjmDlSCQ,112,?,667,?,7,321
2012-07-01,1,1,?,?,?,0,2,1,?,?,3.47,17,1,kV7ZoThXkTq9yxT7PAbq0Q,6,?,6,?,?,30
2011-02-01,5,?,?,?,1,2,2,2,4,?,4.47,45,47,6MYEMoBDkhNj76KA_hzEyw,2,?,5,1,1,23
2007-07-01,?,?,?,?,?,0,?,?,?,?,3.88,8,?,PZZoUCBoxdKGtiY9x-hnKw,3,?,8,?,?,8
2008-01-01,28,4,1,7,17,4,12,25,42,4,3.9,190,20,XxWsOrQp0gCzDmvOsGvYyA,395,?,417,7,25,570
2008-11-01,1,?,?,?,2,0,1,1,1,?,3.78,18,3,rU8yMhWdCQLx2lUwxU8uSA,3,?,2,?,?,18
2014-02-01,?,?,?,?,?,0,?,?,?,?,3.67,3,?,iOPfu26Siat3sx-8SM63OQ,0,?,0,?,?,1
2012-08-01,?,?,?,?,?,0,?,?,?,?,4.07,14,?,emBphqO9RndSywB5B1_L3w,1,?,0,?,?,11
2012-11-01,?,?,?,?,?,0,?,?,?,?,1,2,?,9iD8gqFz7tweptIFNbxmqA,0,?,0,?,?,3
2010-07-01,?,?,?,?,?,0,?,?,?,?,4.43,7,?,Hr5EjzXbj8osJlE-ZZlIKw,2,?,1,?,?,4
2012-09-01,?,?,?,?,?,0,?,?,?,?,3.75,4,?,WTzVMsr5Pre2ZPtlUwWh8w,0,?,0,?,?,1
2011-11-01,?,?,?,?,?,0,?,?,?,?,2.7,12,?,Zoi9zXFY6DpvGWY33_8_pg,0,?,4,?,?,8
2009-10-01,?,1,?,?,?,0,1,?,?,?,3.54,37,?,R-kP641Frh1NUAftXUAEJA,2,?,9,?,?,18
2010-08-01,?,?,?,?,?,0,?,?,?,?,3.74,32,?,aRinRrnTa1H4Ssj5h_wzgA,4,?,7,?,?,24
2010-08-01,1,?,?,?,?,0,2,?,?,?,3.8,20,?,1FsUY1f4MZmPHdrwYZ6V3w,6,?,1,?,1,9
2010-05-01,4,?,1,?,4,3,1,1,?,?,3.82,57,9,HSfNIKyrpjGuh27nH4i0Ug,29,?,15,?,?,87
2008-06-01,?,1,?,?,1,2,?,2,?,?,3.81,16,12,vaNuGM0tK71iR1-xg3nrfg,26,?,25,?,2,24
2010-10-01,?,?,?,?,2,1,?,3,?,?,4.34,66,5,OGxuqUZtoynJ6ayz_VCfyQ,13,?,6,?,?,38
2011-08-01,?,?,?,?,?,0,?,?,?,?,5,2,?,TBi0Rvegjtd-bHd9vC0ryA,0,?,0,?,?,1
2012-04-01,?,?,?,?,?,0,?,?,?,?,5,2,?,LFFOb2_HufbLkXNoBTrKIw,0,?,0,?,?,3
2005-03-01,1,1,4,?,4,1,1,1,4,1,3.59,180,17,8ITVDdfK07owxCA1x878Vw,76,?,198,?,2,177
2007-06-01,35,4,7,?,41,18,26,29,57,?,3.99,538,53,uu5qlI41K1g30bZpNhgRKg,579,1,309,2,14,1279
2011-10-01,?,?,?,?,?,0,?,?,?,?,4,3,1,Yw8wBKgA7rgTLSdDQHGcig,0,?,0,?,?,1
2011-07-01,?,?,?,?,?,0,?,?,?,?,1,2,?,zJU0H-OQIbSfU9tStgFEtg,0,?,0,?,?,2
2013-10-01,?,?,?,?,?,0,?,?,?,?,3,6,?,l6PKBSi09-Qi0v3T9IZwCw,0,?,0,?,?,0
2014-07-01,?,?,?,?,?,0,?,?,?,?,5,1,?,LDrpATl7viHfGGeUKzPeZA,0,?,0,?,?,0
2009-07-01,2,?,1,1,3,2,8,6,2,1,3.78,77,18,Orf6p06pNjMHuPXypLbn-w,53,?,76,1,3,105
2009-07-01,1,?,?,?,?,2,1,1,?,?,3.36,43,?,dRko0-SaRcSaP5gR-5uxuA,7,?,7,?,?,50
2011-05-01,27,8,2,2,16,23,12,17,51,1,3.51,598,23,vLFk6nslFe35NKvlU2Tz9Q,329,3,257,1,7,880
2011-09-01,?,?,?,?,1,2,?,?,?,?,4.65,34,?,QJPOP71pcBwdT2tD7CNrzg,9,?,6,?,2,52
2010-05-01,1,?,?,?,?,0,3,?,?,?,3.15,20,3,MQPvn-sKbAqLS4tNtb8t1Q,5,?,6,?,?,20
2012-10-01,?,?,?,?,?,0,?,?,?,?,3.65,17,?,B8HBGwLTTWWM8kqLhix_2w,3,?,1,?,?,13
2006-07-01,?,?,?,?,1,1,1,?,?,?,3.45,47,1,xOe-ZopdYiu8ijimmtdrnA,8,?,8,?,?,26
2011-12-01,?,?,?,?,?,0,?,?,?,?,4,1,?,zG47E-MKHT1Yea5us2crBg,1,?,0,?,?,0
2013-02-01,1,?,?,?,1,1,2,?,?,?,4.06,18,?,clKTx-oACO0rwblV40tpWg,6,?,7,?,?,20
2007-08-01,7,?,2,?,7,10,9,4,9,?,3.74,276,22,dFSg9ZUwdvXO1c1ZACgZzA,132,?,74,?,5,352
2009-07-01,?,?,?,?,?,0,?,?,?,?,4,7,?,4K7YXIl77EOHlTfSUjLCDw,0,?,1,?,?,0
2012-08-01,2,1,2,?,4,2,4,?,6,1,4.11,110,10,YbjG8LgT13jaOAT3NzoT0Q,23,1,31,?,?,85
2012-04-01,?,?,?,?,?,0,?,?,?,?,4,12,?,L5kqM35IZggaPTpQJqcgwg,0,?,0,?,?,5
2008-11-01,8,2,2,?,7,1,18,9,2,?,3.41,70,31,AEIKxjduqqu545E3T2lHog,42,?,28,1,1,136
2008-06-01,53,13,2,9,21,17,40,69,45,?,3.4,225,27,D72YMW4JGX3NkSNZAW7BeA,806,2,1472,6,65,1037
2012-09-01,?,?,?,?,?,0,?,?,?,?,2.95,20,2,011Ny5tOdSs_ZI_EzILaRA,4,?,5,?,?,12
2013-01-01,?,?,?,?,?,0,?,?,?,?,4.14,8,?,NhCE1r5RPWN3Q0GveOx6kw,1,?,1,?,?,2
2009-05-01,?,?,?,?,?,0,1,?,?,?,3.18,27,1,awmiM7bsZZLv_WgiTXgRbw,1,?,8,?,?,51
2009-04-01,137,5,3,3,96,25,66,38,62,2,3.48,756,108,oFhtzLhXS1iENWoBMdWk4w,915,5,627,10,37,2374
2010-01-01,1,?,?,?,2,3,1,1,1,?,3.99,75,13,kj18hvJRPLepZPNL7ySKpg,43,1,46,?,1,159
2011-05-01,416,10,4,?,101,44,107,102,284,1,3.49,1296,65,zvJCcrpm2yOZrxKffwGQLA,1191,3,1892,50,168,2152
2011-04-01,?,?,?,?,?,0,?,?,?,?,3.15,15,?,lOu9PPbRz04z-LRfw2Ptpg,1,?,1,?,?,10
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,p4ySEi8PEli0auZGBsy6gA,24,?,14,1,?,67
2009-08-01,?,?,?,?,?,0,?,?,?,?,4.25,11,?,QnhQ8G51XbUpVEyWY2Km-A,4,?,0,?,?,18
2011-12-01,?,?,?,?,?,0,?,?,?,?,4.68,19,2,Jv6lq527bHVW1EbrqzZXag,2,?,2,?,?,6
2008-11-01,?,?,?,?,?,0,?,?,?,?,3,5,?,dplaWX2Ud7lCGDfcScy9BA,0,?,1,?,?,7
2010-02-01,3,1,3,?,3,8,?,5,6,?,3.68,183,7,-o4h6R65vlJaTBrfxOEYCA,80,1,76,?,1,211
2008-03-01,18,5,3,?,15,12,4,10,22,1,5,523,34,nJ_6gzvBj0mF943eWZ0cSw,217,1,184,5,5,378
2009-02-01,?,?,?,?,?,0,?,?,?,?,3.18,10,1,5LjvPOiixP8e_nZEfiBtVA,3,?,3,?,?,17
2008-07-01,?,?,?,?,?,1,?,?,?,?,4.5,8,1,zvNimI98mrmhgNOOrzOiGg,3,?,4,?,?,5
2010-08-01,?,?,?,?,?,0,?,?,?,?,3,2,?,AqTwwvkgk_qvfZ2k4ET4pA,1,?,0,?,?,6
2010-09-01,?,2,?,?,?,1,1,?,?,?,3.67,70,9,AXz26iQxhQQF7FFCkDNJ6w,10,?,25,?,?,54
2013-03-01,?,?,?,?,?,0,?,?,?,?,2,2,?,d-HBNkZ5AJLK-R5_W6fJOQ,0,?,0,?,?,4
2010-02-01,2,?,?,?,2,2,1,?,2,?,3.59,114,12,uhsQFs68oZHrKVMPinwfrQ,47,?,64,?,3,214
2010-08-01,?,2,?,?,2,5,1,?,2,?,3.61,126,1,5yLRVxHgnCQ5taPJ4cl0-A,29,?,20,1,1,59
2013-06-01,?,?,?,?,?,0,?,?,?,?,3.4,5,1,LA_oXZdiMqZqjxNp7gZweA,1,?,0,?,?,1
2012-10-01,?,?,?,?,?,0,?,?,?,?,4.8,5,?,HKFK6P35KX0VF67NtU0rwg,0,?,0,?,?,1
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,-hwN2juKYn-KTxa2WBYLnw,90,?,136,?,3,450
2011-10-01,?,?,?,?,?,0,?,?,?,?,2,4,?,QIC6eYpIE1jyJlxYwXcb7Q,0,?,1,?,?,4
2011-02-01,?,1,?,?,?,1,?,?,?,?,4.06,44,8,q2_xNGF6nhsOoD2NpOa5dg,1,?,7,?,?,15
2011-06-01,?,?,?,?,?,0,?,?,?,?,4,3,?,IXANAoF_6OOFdDwjpGZpQg,1,?,1,?,?,1
2007-01-01,1,?,?,?,1,0,2,?,1,?,3.69,66,1,5W_Dv1E2loDsoXFpi-pqcQ,23,?,12,?,?,86
2011-11-01,?,?,?,?,?,1,?,?,?,?,4,2,2,cnYrqqeLhqY04kqsopBGng,0,?,0,?,?,0
2009-12-01,?,?,?,?,?,0,?,?,?,?,3.27,38,?,v_7KW52Z8r_su8v4uV98MA,10,?,29,?,?,75
2009-02-01,27,7,4,8,11,14,9,28,26,3,3.67,419,29,C6jV8yFHlfZLWvsysaQ0VA,210,1,187,1,10,388
2008-03-01,3,1,1,1,3,4,8,3,4,?,3.21,144,12,_xf2ECTRftPV4bzK4mGYEg,45,?,58,?,5,260
2010-06-01,4,?,?,?,1,1,2,2,?,?,3.24,41,5,to4yos7TkaDe45-keAg74A,16,?,6,?,?,62
2005-10-01,198,47,2,66,85,130,172,204,262,12,3.81,1222,120,Bvh3IHeMzSPnJAe5QlBsSw,3376,20,4774,70,375,3679
2012-07-01,?,?,?,?,?,0,?,?,?,?,4,3,?,ECOZNokNazcdgocyCRJw6g,0,?,0,?,?,0
2009-11-01,?,?,?,?,?,0,?,?,?,?,3.84,20,?,8lvmjewvLCwnbfwNoE-Xyg,1,?,5,?,?,11
2011-01-01,?,?,?,?,?,0,?,?,?,?,2.75,8,?,k42CUkU9dxyCRDlcOfsVTw,0,?,0,?,?,9
2011-10-01,28,1,1,?,13,9,9,9,16,2,4.13,117,14,bIXI5KABBzU1Nt_RaB6Nug,108,3,99,?,10,222
2011-10-01,6,?,3,?,5,3,4,3,10,?,3.98,217,7,cBBarVpwP94MsS63W4KKZg,50,2,27,?,?,195
2010-08-01,?,?,?,?,?,0,?,?,?,?,4.67,4,?,R9W6whtG5GagjzJ4yrRvqQ,1,?,0,?,?,1
2009-04-01,2,?,?,?,?,0,?,?,?,1,3.78,55,7,MnXcXwr0keJpkIiwuPsOKg,16,?,20,?,?,56
2010-02-01,13,?,2,?,12,3,4,11,8,?,4.33,77,29,EEYwj6_t1OT5WQGypqEPNg,93,?,33,?,?,143
2007-05-01,46,5,2,1,19,16,20,33,32,2,3.76,411,30,KT1F97KjezOZlIboOq7Krw,848,?,1511,?,23,1102
2012-07-01,?,?,?,?,?,1,?,?,?,?,2.71,8,?,GfceHEXxy7ifcGCSOk6sjA,1,?,2,?,?,13
2013-04-01,?,?,?,?,?,0,?,?,?,?,1,1,?,spPw301AwzOqN0nTGXqsKg,0,?,0,?,?,0
2011-05-01,?,?,?,?,?,0,?,?,?,?,2.44,9,?,lWvnozTHpZ-tfU49Fqz-OA,0,?,2,?,?,26
2011-01-01,2,?,2,?,?,1,1,1,6,?,3.9,131,7,MDiCwtVo-Aq9cD5bAKd8Lw,22,?,12,?,?,78
2012-08-01,?,?,?,?,?,0,?,?,?,?,3,1,?,wC8r-m6KHifL6R2i8ok8yg,0,?,0,?,?,2
2011-03-01,?,?,?,?,1,0,?,?,?,?,4.35,19,?,ibeYRWmFst05FZfo5vo_aQ,2,?,0,?,?,9
2011-02-01,?,?,?,?,?,1,?,?,?,?,5,6,7,I7dYsjvl3b66gL4KhOjVIw,0,?,2,?,?,2
2010-11-01,?,?,1,?,3,1,2,2,1,?,3.79,93,6,9TDqZLPsOgWERXii_etbcw,23,?,4,?,?,86
2007-12-01,3,2,?,?,?,5,2,1,4,?,3.91,178,3,SaA0kpMsNDfN_kI1HVK-Xg,171,3,142,?,2,334
2013-04-01,?,?,?,?,?,0,?,?,?,?,3.84,64,?,U0EwhTMkyoJ9vbvwlZcA5Q,5,?,5,?,?,12
2012-04-01,?,?,?,?,?,0,?,?,?,?,5,1,?,rWEDVOMa0X4Qhw4wropxig,0,?,0,?,?,0
2008-07-01,?,?,?,?,?,0,2,?,?,?,3,51,4,exEi48wqihTORdLbYyR8kA,11,?,15,?,1,40
2008-02-01,129,10,?,13,10,5,88,94,143,6,3.48,91,53,TCqjsTEPFLfjdCxI2Zq1WQ,115,8,142,11,110,160
2011-10-01,8,1,?,?,6,1,8,5,7,?,4.15,75,20,SEJWhA6MRIavK4b3pGxwTg,55,?,23,1,1,100
2010-01-01,?,?,?,?,?,0,?,?,?,?,3,5,?,-Zi61Kgfee1OX6sDG3wbfw,1,?,1,?,?,1
2009-01-01,?,?,?,?,?,0,?,?,?,?,2.1,10,?,QSRCc7ip7DqRnUT0gJ6q_g,6,?,18,?,?,50
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,OtpHvQFGbZ4sONaQAXankg,69,?,52,1,2,179
2007-05-01,?,?,?,?,?,0,?,?,?,?,3.31,13,1,BD4IhPuK-DwGBQb3RzQDcQ,0,?,2,?,?,10
2007-01-01,?,?,?,?,?,0,?,?,?,?,3.72,218,?,0iPA-UDoxZzA-HCByswY8g,110,?,210,?,?,232
2007-05-01,30,5,2,1,35,13,16,26,47,1,3.94,194,86,n01pLYcrNOgY8Bdm3Bc5fQ,207,?,185,6,5,359
2011-08-01,?,?,?,?,1,0,?,?,1,?,2.93,14,?,cMfvLtBnyXo5xlm9IB-8Og,4,?,11,?,?,19
2012-02-01,?,?,?,?,?,0,?,?,?,?,3.81,16,?,6ViJPCbqIAIq5HPy7anIEw,0,?,2,?,?,13
2008-03-01,14,5,4,?,3,6,9,9,4,1,3.83,111,17,mDqWHJG-NQq9ycwV07wjkg,30,?,25,1,1,96
2013-12-01,1,?,?,?,?,1,1,?,?,?,3.81,51,5,s__z7O5ybdky0KmXkA6MZA,7,?,7,?,1,31
2010-11-01,?,?,?,?,?,0,3,?,?,?,3.74,32,2,0mwYO5iiTpzWnaSjuKWMIQ,3,?,11,?,?,29
2009-08-01,?,?,?,?,1,0,?,?,?,?,3.82,28,?,V3JTVZR8orDlmfwCZG1WHg,3,?,1,?,?,10
2012-09-01,?,?,?,?,3,0,2,4,3,?,3.9,20,4,H7Oqx7unyozYf72d8MXHBQ,6,?,0,?,?,17
2008-08-01,?,?,?,?,?,0,?,?,?,?,4.09,11,?,SXRG5zTc2kiezMe-lWa9aQ,2,?,0,?,?,7
2010-07-01,1,?,?,?,?,0,?,?,?,?,3.88,25,?,pgKOL4k5tWCWS9VIc33EoQ,3,?,4,?,?,15
