@relation yelp_academic_dataset_user

@attribute average_stars numeric
@attribute compliments.cool numeric
@attribute compliments.cute numeric
@attribute compliments.funny numeric
@attribute compliments.hot numeric
@attribute compliments.list numeric
@attribute compliments.more numeric
@attribute compliments.note numeric
@attribute compliments.photos numeric
@attribute compliments.plain numeric
@attribute compliments.profile numeric
@attribute compliments.writer numeric
@attribute elite numeric
@attribute fans numeric
@attribute friends numeric
@attribute review_count numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute votes.funny numeric
@attribute votes.useful numeric
@attribute yelping_since string

@data
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2CQfKZKSfMts6m0U5APhHg,0,0,0,2012-10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,KnixHmjHzQJVwIRnQQhn6w,0,1,0,2011-09
2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6bhMjqOnAgGUG3UfnKdICA,0,0,1,2014-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2atUkhVc9D2IYClVmXK_1Q,0,0,0,2013-02
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9deACBhB9SBjRz5U33b4lw,0,0,0,2014-01
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,KjX4R8GUgI1KYmdHmzS1Zw,0,0,3,2014-01
3.65,16,0,5,8,0,1,3,0,9,1,4,1,7,1,214,WvhiRlcyEiy-XYwiCofzdg,110,56,274,2010-10
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-RepeEOUOgFORN3X1_tsew,0,0,1,2011-01
3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,NMkAIhDPZlNWv493_cTVdQ,2,2,6,2013-09
3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8ED0W8fujj7Dd0ShD92ABw,4,5,13,2007-09
3.96,1,1,0,4,0,1,1,0,2,0,1,0,3,1,26,krDaj4GRR1Wdi2cA2OKCZw,26,24,47,2009-05
4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,NguqHiBRr-NOWARk0uHeng,5,3,21,2011-01
3.53,1,0,2,0,0,2,2,1,6,0,2,1,1,0,230,B947dYEwuKxJLvY33bdG8g,40,45,203,2012-02
3.58,0,0,0,0,0,0,1,1,1,0,1,0,0,1,47,G8sQ2yig4W9BXq05koF1_g,9,8,25,2011-03
3.55,45,2,10,26,0,2,23,8,29,2,10,1,23,1,333,ELLFYCYQHKyx13T7IZ3j0Q,511,147,702,2007-06
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5XZgkPd42-lc9zGBZxQD8g,2,0,6,2010-11
3.15,0,0,0,0,0,1,1,0,0,0,0,0,1,0,12,7tQrSnHmKVtMfXMth_LxEQ,1,3,23,2011-09
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TyU1fIURfghf-JDPTgdTFQ,1,1,5,2010-12
3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16ZmSRFy3_-JRYu3VVMV9g,0,0,6,2010-10
3.96,169,16,220,131,7,18,87,58,165,10,131,1,103,1,152,GHbj_ybwEXcN4R8qt7O-cg,1557,2137,1735,2008-11
4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20,NEKu3wiv-snvjJrO4b9Z3g,7,10,17,2010-09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,kp2_bO9dbNJQZSl30UHVIQ,0,0,2,2013-05
3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6CJKoEeysKgC3iRIYIYIRg,3,2,7,2014-02
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x7b1nwQE2eQpMi1jRnOarw,0,1,0,2011-10
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,zcDdYtVnnKs8NXpqYTxhtw,1,0,3,2010-07
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Qq-av9rj_UdM64mDvIRFow,0,0,0,2011-11
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Qza7Z_Tj2zkiWWJH4D5Ijw,0,0,2,2012-07
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,uifZRzwMJJUFT8LGYoaNcA,0,0,0,2012-09
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,tkVmWfvemjIeC5spk1UIzA,1,0,2,2011-08
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,yyFf09blciUuQciZcMUq8w,0,0,2,2013-06
3.66,64,1,6,6,2,1,24,38,53,1,16,1,7,1,172,FcjwXnuDuN8not6PoHID3w,244,100,324,2009-01
2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1BVAWLY26Snonu0Poz6lpQ,0,1,3,2010-10
3.79,0,0,0,0,0,0,0,0,2,0,0,0,1,0,49,15foZX2iu8jqAMvqsp4SsA,8,6,17,2009-12
4.18,0,0,0,2,0,0,0,0,2,0,0,0,1,1,54,CPL7XqRobcKfTC0UzyUsDA,7,7,30,2009-09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LVlH58-5cbwmdFk1MdCI_g,0,0,2,2012-08
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NhF-Q4RHbS_-7Un6C50NXA,0,1,0,2010-11
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D1w0blDIdSmDbC6U89nygQ,0,2,1,2013-12
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,lSg4-C3C77uXxAjUmG9z6A,0,3,1,2013-11
3.74,72,3,11,32,0,7,44,0,29,1,13,1,9,1,256,6zwt0czvmqwBoy6NKVEvjA,422,247,672,2006-01
3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72qh6mEHw9CBguGaendidw,1,0,2,2013-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,jef11KndG-QAGg-IQ3w1_Q,0,0,0,2011-01
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,AUb4vY102hd5DIza7kEMjg,0,0,0,2014-05
2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,VPvnWQZMkwwyYZLTMv0knA,3,1,4,2011-08
3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,LtqMZyzCJc7YH2hXEZXeGQ,1,15,22,2007-12
4.09,0,0,0,0,0,0,0,0,3,0,1,0,1,1,92,5Haf6tTj2_9AeZh7zQ4cgA,21,31,93,2010-02
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,fgQJgJpSUto65y_MeT_S3w,0,1,2,2013-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,_eu6zJiEWTl5YkSwEveiDA,2,4,2,2008-01
3.97,0,0,0,0,0,1,0,0,2,0,0,0,2,0,37,6kcMk0TbMpW76WJWiOuLDw,10,7,67,2007-08
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ZYqtS1UppA0MvcLqhtBspA,0,18,10,2011-12
3.91,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,nM-Oz6nOL8jwUX9J-UickQ,5,1,15,2011-11
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9o62b1UsFhbLbzztQKN_9w,2,0,2,2012-09
3.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,wrHO_VseqCphkqrOsayb4Q,8,11,57,2011-10
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,y6bJDFjE8V413I826E87Mg,0,2,4,2009-08
3.57,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,GBljM9Fi0OlMEzTeiKld6w,2,4,6,2011-05
3.46,5,1,2,5,0,1,4,3,3,0,4,0,3,1,57,TovLZ8Q8c9ZV9fUdBwCr4A,15,18,67,2010-03
3.62,10,3,2,5,0,1,0,0,7,1,5,1,6,1,257,UbEp2jj8cYC0UWZ1jvUZ3A,91,92,289,2008-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,rTbRk6xBIhuYbBzPomUQZw,0,0,0,2014-01
4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ICPn9f6tqNcAhHNLGAbEyQ,0,0,0,2013-11
4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,9,IjJeMuZutDBNzrqr7xLewA,34,22,37,2009-04
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3AYE63sussmBAylWvDn0w,2,1,2,2013-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DyiIGcxI6ZWLQIXONwCgzQ,1,1,0,2013-05
3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,_FXsiM1UIYogkBWjjuVPKQ,9,8,58,2007-05
3.94,124,0,46,29,0,2,42,26,409,6,19,1,28,1,406,iw2b-ya2MuS0QZnVq5_axQ,430,307,896,2012-06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,WHM9WF1vfMXa5lKMlGqTtg,0,0,2,2011-02
4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,Xzdl_88-QbYXlMukSrUxsA,1,0,2,2012-06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,umxmSapralx-OgVLoamMjg,0,0,1,2011-12
4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-eV3dDHCrwDlt1jN7i5_Qg,0,0,3,2013-10
4.1,656,4,187,324,3,30,229,122,600,18,224,1,20,1,473,f_QwW8uaXLQXJXaCYMcCYA,1365,1183,1707,2010-06
4.82,0,0,0,0,0,0,0,0,0,1,0,0,2,1,13,Pj5Wo-ir-rJ1WuFlpFzB_A,0,0,9,2009-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,jzLgLxIAj0vKB_r8xW0KXQ,11,11,12,2012-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mhCqZGft0AgqeBp11pX4Mg,0,0,0,2013-03
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,xZQVhq8qAIBVFEYieOi4vA,1,1,1,2012-02
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,JbyHzr-08iodlHMwMkkQ-Q,1,3,1,2011-10
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-R16WJ7f2hs4zkk9h8tupA,0,0,2,2010-08
4.09,35,3,4,28,0,2,57,2,16,1,12,1,18,1,63,DTrYjjzj62PJZ_WptivFyQ,177,157,247,2012-09
2.65,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,SzA6C8hLpNwa9K8jweu5Ow,5,12,29,2011-04
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,8NiMpUo78qYu3S1x5fhA4g,2,1,4,2011-03
3.62,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32,GPY2xy99Omc4TfbQwyAceg,2,2,10,2010-06
4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,GvubN02IRi0Yy7h_QRe9OA,0,3,3,2012-10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,rTzhvw5JKMKcifORRjw9rw,1,1,4,2014-03
3.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3u5HAM1JIlXlKRRKnD0BfA,0,0,1,2011-03
2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MNKAQdeMmxKtWm2FizgzCQ,0,0,1,2012-02
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,UCK5OZ_YVyQtTfwO1oQVHw,1,0,2,2011-08
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,uQ4NXJyLD2PtuSD98xs4rQ,1,1,4,2011-07
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,vJy1qThM0fUjVaSYZzGBgg,0,1,2,2013-04
3.14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0l1DfYO6TSRqA0D8BjNo-A,7,11,23,2011-03
3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,rZQl3UAwJGPt1JP87Ghnew,9,7,13,2011-11
3.24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,42,E_BXU1AXEeA8ydXlVhpxmA,9,12,38,2010-04
3.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,mIQFRKJJmOgovVRPz9MlTw,2,6,9,2012-03
4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,X7FFHxES4OU2MrAgZCvw6w,0,0,2,2011-05
3.28,1,0,1,0,0,0,0,0,2,0,7,0,3,1,85,Qtro4APUHh1wEwnVhciPPQ,117,254,830,2009-08
2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-HbtpfaXVabVqCBHaZ3LXA,0,0,1,2013-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PP7f4lKd-QVxwd2y96nXTw,1,1,2,2012-10
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36EgyW4dqJrN3V7vU-0mpg,0,0,2,2009-01
4.27,4,1,0,1,0,0,2,0,0,0,0,0,0,1,39,YWBuX2RBbwhYK1jGdZttJA,6,2,51,2011-06
3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,kjkLu5hcgXzDREMkn7aCFQ,5,3,10,2011-07
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ZHqYXOGBI6wHORCXCZdnlw,0,0,0,2013-07
3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,De8NQy2EZVES3Vtyld4Wnw,0,2,7,2012-08
4.01,32,1,5,33,0,6,13,2,11,1,31,1,11,1,304,V7pppn-r6tL_Yb2_msQQFw,281,182,536,2010-06
3.85,2,0,1,4,0,0,2,4,1,0,0,0,3,1,26,gkpMjWWEDKbiWSWzgubq3w,12,11,30,2009-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,kyqz_-mzCylqFPWkIYGpgA,0,0,0,2010-12
2.81,2,0,0,1,0,0,1,1,2,0,0,0,0,1,25,gNXf3MEIGpUk7mTMx-YKHQ,6,10,29,2011-01
3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,qsK1JLtXPHHtfnsicbK5Mg,1,0,3,2013-10
3.33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,rW-ldNYIpZ0jIW08L2W9NQ,3,2,6,2010-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,eEDJqqmpMwiSg0Bt8Dwd5A,0,0,8,2013-03
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,TqHKcb5zhjUSV1nsMStReA,0,0,3,2012-02
3.44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,6LA9Mjs9ie0709nXVvywFg,2,6,10,2008-12
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,sembYbn1N7g-J1v3hHXd0Q,1,1,2,2013-07
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5hQr4r-ST1jIumwNFYzjiQ,1,0,1,2012-04
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,i5Wx4U2zZMoSHA8SNit6hA,0,0,0,2013-10
4.53,1,0,1,1,0,0,0,0,0,0,0,0,0,1,32,K18d4f88TujTyNgJ_sgL_w,4,2,15,2012-05
3.8,3,0,1,1,1,1,2,0,2,0,0,1,1,1,70,Jwoj_tY5WaMlK_fEvQpJ1A,53,51,81,2007-07
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,rC3mIIpfs9zeXnC7B5nsnA,0,0,0,2011-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,wwY1kKG2-RMR_n6H0TRPdA,0,0,1,2012-10
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,OnBQcKqd4IbxVCFFVO7viQ,0,0,0,2013-07
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,UWC882BkVLOZOw5frdGQnw,2,1,6,2011-09
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Ac1sVXF5NQIrvYw7v5DeBQ,0,0,0,2009-08
2.71,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,scPVp0prTMcIvV0E3Ah9fw,1,2,7,2013-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-NJHn-lTpSz_-puUUezZxw,0,0,1,2012-06
3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,r-_ZgzT-f1S_5QdB7SVrUw,1,0,7,2008-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Zv6rUhvjsE_Sb7QhBu9_kA,0,1,3,2012-12
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,tIzmsstozLc7ofYCgOyHRQ,0,1,1,2011-03
3.17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,hJbhbqg-x3TFzhvqqwl5RA,2,3,4,2008-09
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,X4GxH81x8Xi6L9uokRIELw,0,2,2,2012-04
5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,NAf3RM7dZ6ZBlByqV6LAmg,0,0,3,2013-01
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,JSeo22e-wQ9Sc3eXsQTovA,1,2,3,2012-04
4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,rsrQ2PRJefKkoYrU93EO6g,0,1,6,2011-09
2.33,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,xT8OT8iXrQxiIsEA3uJnBA,0,0,2,2012-09
4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,SoDycizq4-yOSdb4GPW82w,2,1,7,2010-11
3.84,0,0,2,0,0,1,0,0,1,0,1,0,0,1,55,jkwKi8zuuHRu_bCLBZjxcA,29,9,48,2008-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,KZdoBMn_jysUB7Xm7geJbg,0,0,0,2011-11
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VcDRWSBTFT1_-ZUlzhwb6Q,0,0,0,2013-03
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,A9AKVx4xWyMdSz-Gkg3RXw,0,0,3,2012-07
4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hALnLIoGqdG_1mASX0Rh9g,0,0,4,2013-03
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7rVjq40hUX2yByDaCeyDuQ,0,0,2,2013-09
3.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,-XBbtXWKg1vNyOrvpLto1w,0,6,12,2007-05
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,hvOZ-6npgQitbL5_j6DNnA,0,0,0,2013-03
4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,xJv7fKqZ3HYV_yeO8iJrEw,2,0,20,2009-05
3.6,4,0,2,2,0,1,4,1,3,1,5,1,6,1,136,34ir_XnUsrqserEuSZdGQA,67,78,167,2009-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,v44zQ89ebtUS-GTDY6QAyA,0,1,0,2011-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TCWxeZ5iKPbhrx3FVi6iKQ,0,0,0,2014-04
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,oqxFZHelaC8wRBy2bNBUNw,0,0,1,2013-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,VH8Ko5qo7AmzN6mqH3mx_g,0,0,0,2011-06
3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ulN9qrfACM0QcR76aN0Apw,0,2,6,2012-01
