@relation userReviews

@attribute user.yelping_since string
@attribute user.compliments.plain numeric
@attribute user.compliments.more numeric
@attribute user.elite numeric
@attribute user.compliments.cute numeric
@attribute user.compliments.writer numeric
@attribute user.fans numeric
@attribute user.compliments.note numeric
@attribute user.compliments.hot numeric
@attribute user.compliments.cool numeric
@attribute user.compliments.profile numeric
@attribute user.average_stars numeric
@attribute user.review_count numeric
@attribute user.friends numeric
@attribute user.votes.cool numeric
@attribute user.compliments.list numeric
@attribute user.votes.funny numeric
@attribute user.compliments.photos numeric
@attribute user.compliments.funny numeric
@attribute user.votes.useful numeric
@attribute review.business_id string
@attribute review.date string
@attribute review.review_id string
@attribute review.stars numeric
@attribute review.user_id string
@attribute review.votes.cool numeric
@attribute review.votes.funny numeric
@attribute review.votes.useful numeric

@data
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,JwUE5GmEO-sH1FuwJgKBlQ,2009-05-04,ow1c4Lcl3ObWxDC2yurwjQ,4,ZYaumz29bl9qHpu-KVtMGA,0,6,0
2009-12-01,?,?,?,?,?,0,?,?,?,?,3.73,12,?,1,?,1,?,?,4,JwUE5GmEO-sH1FuwJgKBlQ,2010-10-30,FRTCszJWkJonDAZx3yr8FA,4,SvS7NXWG2B2kFoaHaWdGfg,0,0,0
2008-10-01,1,1,1,?,2,2,?,?,3,?,3.88,79,?,22,?,12,?,?,72,JwUE5GmEO-sH1FuwJgKBlQ,2011-02-06,qQIvtbqUujvvnJDzPSfmFA,4,qOYI9O0ecMJ9VaqcM9phNw,0,0,0
2010-02-01,13,?,2,?,12,3,4,11,8,?,4.33,77,29,93,?,33,?,?,143,JwUE5GmEO-sH1FuwJgKBlQ,2011-03-31,4iPPOQIo5Mr1NAUPUgCUrQ,4,EEYwj6_t1OT5WQGypqEPNg,0,0,0
2011-07-01,15,4,4,1,26,4,31,17,32,?,3.61,336,20,316,1,207,?,2,737,JwUE5GmEO-sH1FuwJgKBlQ,2011-11-08,Rnm1KyfRcwNt9bOI5i-yqA,4,bfww9ItvUBeRsFQ4UD4eaw,0,0,1
2009-07-01,17,3,5,?,2,7,12,6,10,1,4.16,317,17,119,?,121,?,6,383,JwUE5GmEO-sH1FuwJgKBlQ,2011-12-29,SSlO5u2nIJ8PoAKAgN5m3Q,5,Au3Qs-AAZEWu2_4gIMwRgw,0,2,5
2009-04-01,2,?,?,?,?,0,?,?,?,1,3.78,55,7,16,?,20,?,?,56,JwUE5GmEO-sH1FuwJgKBlQ,2012-01-08,_utPYHIdXeq8CqQ4iYD1bw,3,MnXcXwr0keJpkIiwuPsOKg,0,0,1
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,JwUE5GmEO-sH1FuwJgKBlQ,2012-01-08,6wFJ0Ml7r9elqjeoez3HXQ,4,-hwN2juKYn-KTxa2WBYLnw,0,1,1
2010-07-01,?,?,?,?,?,0,?,?,1,?,3.17,29,1,7,?,27,?,?,62,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-13,rgM9f8Xh6ySclVoOSR8MXw,5,MPKMK36Xp0GuaWaXlUwZ8Q,1,2,4
2010-07-01,1,?,?,?,?,0,?,?,?,?,3.88,25,?,3,?,4,?,?,15,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-16,khGSK7FRLuRWnnTE6I0stA,4,pgKOL4k5tWCWS9VIc33EoQ,0,0,1
2009-07-01,?,?,?,?,?,0,?,?,?,?,4,7,?,0,?,1,?,?,0,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-19,mdjs8GJUfqGajVMjgOrP5Q,4,4K7YXIl77EOHlTfSUjLCDw,0,1,0
2011-01-01,2,?,2,?,?,1,1,1,6,?,3.9,131,7,22,?,12,?,?,78,JwUE5GmEO-sH1FuwJgKBlQ,2012-03-12,Vqkv071v8vLA2ux8aOeICQ,5,MDiCwtVo-Aq9cD5bAKd8Lw,0,0,1
2012-08-01,?,?,?,?,?,0,?,?,?,?,3,1,?,0,?,0,?,?,2,JwUE5GmEO-sH1FuwJgKBlQ,2012-08-26,gksnzyc9jQ9hNXESjvTrQw,3,wC8r-m6KHifL6R2i8ok8yg,0,0,1
2012-09-01,?,?,?,?,?,0,?,?,?,?,3.11,12,?,0,?,0,?,?,7,JwUE5GmEO-sH1FuwJgKBlQ,2013-02-12,ilPs2w4liKDvlqLhWrkI8Q,4,4ih20jNIEPIkhkh-uxeyAg,0,0,0
2011-11-01,?,?,?,?,?,0,?,?,?,?,4.15,13,?,0,?,1,?,?,12,JwUE5GmEO-sH1FuwJgKBlQ,2013-05-07,kAFG3i8DsfTkJePPEMc9Ig,5,Bld8sdbL48rJzVXo4yMYWA,0,0,0
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,69,?,52,1,2,179,JwUE5GmEO-sH1FuwJgKBlQ,2013-07-20,ue3D7WBI4ZQxH43wMdpfcA,3,OtpHvQFGbZ4sONaQAXankg,0,0,0
2008-03-01,18,5,3,?,15,12,4,10,22,1,5,523,34,217,1,184,5,5,378,JwUE5GmEO-sH1FuwJgKBlQ,2013-10-28,DAFwq9T6sKDYiyQHiAzVbQ,5,nJ_6gzvBj0mF943eWZ0cSw,0,1,0
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,JwUE5GmEO-sH1FuwJgKBlQ,2014-03-13,PCa_K6ijV3Tzbp6nouEiJQ,4,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2011-06-01,?,?,?,?,?,0,?,?,?,?,4,3,?,1,?,1,?,?,1,JwUE5GmEO-sH1FuwJgKBlQ,2014-07-02,rYKHcfBvFjqd5qvbX700_Q,5,IXANAoF_6OOFdDwjpGZpQg,0,0,0
2014-07-01,?,?,?,?,?,0,?,?,?,?,5,1,?,0,?,0,?,?,0,JwUE5GmEO-sH1FuwJgKBlQ,2014-07-06,xpQe4tiCdZuQdmQsgtMErA,5,LDrpATl7viHfGGeUKzPeZA,0,0,0
2006-12-01,21,5,7,3,14,21,16,24,21,1,3.71,267,14,363,14,117,1,6,462,vcNAWiLM4dR7D2nwwJ7nCA,2007-05-17,15SdjuK7DmYqUAj6rjGowg,5,Xqd0DzHaiyRqVH3WRG7hzg,1,0,2
2009-04-01,1,?,?,?,?,0,?,?,?,?,1.91,13,?,2,?,1,?,?,17,vcNAWiLM4dR7D2nwwJ7nCA,2010-03-22,RF6UnRTtG7tWMcrO2GEoAg,2,H1kH6QZV7Le4zqTRNxoZow,0,0,2
2011-05-01,416,10,4,?,101,44,107,102,284,1,3.49,1296,65,1191,3,1892,50,168,2152,vcNAWiLM4dR7D2nwwJ7nCA,2012-02-14,-TsVN230RCkLYKBeLsuz7A,4,zvJCcrpm2yOZrxKffwGQLA,1,0,1
2012-02-01,1,?,?,?,?,0,?,?,1,?,2.55,13,?,1,?,4,?,?,12,vcNAWiLM4dR7D2nwwJ7nCA,2012-03-02,dNocEAyUucjT371NNND41Q,4,KBLW4wJA_fwoWmMhiHRVOA,0,0,0
2011-05-01,416,10,4,?,101,44,107,102,284,1,3.49,1296,65,1191,3,1892,50,168,2152,vcNAWiLM4dR7D2nwwJ7nCA,2012-05-15,ebcN2aqmNUuYNoyvQErgnA,4,zvJCcrpm2yOZrxKffwGQLA,1,0,2
2013-04-01,?,?,?,?,?,0,?,?,?,?,1,1,?,0,?,0,?,?,4,vcNAWiLM4dR7D2nwwJ7nCA,2013-04-19,_ePLBPrkrf4bhyiKWEn4Qg,1,Qrs3EICADUKNFoUq2iHStA,0,0,0
2011-02-01,1,?,?,?,2,0,1,?,?,?,3.65,225,8,29,?,36,1,1,135,vcNAWiLM4dR7D2nwwJ7nCA,2014-01-02,kMu0knsSUFW2DZXqKkGWlg,5,jE5xVugujSaskAoh2DRx3Q,0,0,0
2009-08-01,?,?,?,?,?,0,?,?,?,?,4.25,11,?,4,?,0,?,?,18,vcNAWiLM4dR7D2nwwJ7nCA,2014-01-08,onDPFgNZpMk-bT1zlForRA,5,QnhQ8G51XbUpVEyWY2Km-A,0,0,0
2008-07-01,?,?,?,?,?,1,?,?,?,?,4.5,8,1,3,?,4,?,?,5,JwUE5GmEO-sH1FuwJgKBlQ,2008-07-07,I7Kte2FwXWPCwdm7ispu1A,4,zvNimI98mrmhgNOOrzOiGg,0,0,1
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,24,?,14,1,?,67,JwUE5GmEO-sH1FuwJgKBlQ,2009-05-03,9uHZyOu5CTCDl1L6cfvOCA,4,p4ySEi8PEli0auZGBsy6gA,0,0,0
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,JwUE5GmEO-sH1FuwJgKBlQ,2009-05-04,ow1c4Lcl3ObWxDC2yurwjQ,4,ZYaumz29bl9qHpu-KVtMGA,0,6,0
2009-12-01,?,?,?,?,?,0,?,?,?,?,3.73,12,?,1,?,1,?,?,4,JwUE5GmEO-sH1FuwJgKBlQ,2010-10-30,FRTCszJWkJonDAZx3yr8FA,4,SvS7NXWG2B2kFoaHaWdGfg,0,0,0
2008-10-01,1,1,1,?,2,2,?,?,3,?,3.88,79,?,22,?,12,?,?,72,JwUE5GmEO-sH1FuwJgKBlQ,2011-02-06,qQIvtbqUujvvnJDzPSfmFA,4,qOYI9O0ecMJ9VaqcM9phNw,0,0,0
2010-02-01,13,?,2,?,12,3,4,11,8,?,4.33,77,29,93,?,33,?,?,143,JwUE5GmEO-sH1FuwJgKBlQ,2011-03-31,4iPPOQIo5Mr1NAUPUgCUrQ,4,EEYwj6_t1OT5WQGypqEPNg,0,0,0
2011-07-01,15,4,4,1,26,4,31,17,32,?,3.61,336,20,316,1,207,?,2,737,JwUE5GmEO-sH1FuwJgKBlQ,2011-11-08,Rnm1KyfRcwNt9bOI5i-yqA,4,bfww9ItvUBeRsFQ4UD4eaw,0,0,1
2009-07-01,17,3,5,?,2,7,12,6,10,1,4.16,317,17,119,?,121,?,6,383,JwUE5GmEO-sH1FuwJgKBlQ,2011-12-29,SSlO5u2nIJ8PoAKAgN5m3Q,5,Au3Qs-AAZEWu2_4gIMwRgw,0,2,5
2009-04-01,2,?,?,?,?,0,?,?,?,1,3.78,55,7,16,?,20,?,?,56,JwUE5GmEO-sH1FuwJgKBlQ,2012-01-08,_utPYHIdXeq8CqQ4iYD1bw,3,MnXcXwr0keJpkIiwuPsOKg,0,0,1
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,JwUE5GmEO-sH1FuwJgKBlQ,2012-01-08,6wFJ0Ml7r9elqjeoez3HXQ,4,-hwN2juKYn-KTxa2WBYLnw,0,1,1
2010-07-01,?,?,?,?,?,0,?,?,1,?,3.17,29,1,7,?,27,?,?,62,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-13,rgM9f8Xh6ySclVoOSR8MXw,5,MPKMK36Xp0GuaWaXlUwZ8Q,1,2,4
2010-07-01,1,?,?,?,?,0,?,?,?,?,3.88,25,?,3,?,4,?,?,15,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-16,khGSK7FRLuRWnnTE6I0stA,4,pgKOL4k5tWCWS9VIc33EoQ,0,0,1
2009-07-01,?,?,?,?,?,0,?,?,?,?,4,7,?,0,?,1,?,?,0,JwUE5GmEO-sH1FuwJgKBlQ,2012-02-19,mdjs8GJUfqGajVMjgOrP5Q,4,4K7YXIl77EOHlTfSUjLCDw,0,1,0
2011-01-01,2,?,2,?,?,1,1,1,6,?,3.9,131,7,22,?,12,?,?,78,JwUE5GmEO-sH1FuwJgKBlQ,2012-03-12,Vqkv071v8vLA2ux8aOeICQ,5,MDiCwtVo-Aq9cD5bAKd8Lw,0,0,1
2012-08-01,?,?,?,?,?,0,?,?,?,?,3,1,?,0,?,0,?,?,2,JwUE5GmEO-sH1FuwJgKBlQ,2012-08-26,gksnzyc9jQ9hNXESjvTrQw,3,wC8r-m6KHifL6R2i8ok8yg,0,0,1
2012-09-01,?,?,?,?,?,0,?,?,?,?,3.11,12,?,0,?,0,?,?,7,JwUE5GmEO-sH1FuwJgKBlQ,2013-02-12,ilPs2w4liKDvlqLhWrkI8Q,4,4ih20jNIEPIkhkh-uxeyAg,0,0,0
2011-11-01,?,?,?,?,?,0,?,?,?,?,4.15,13,?,0,?,1,?,?,12,JwUE5GmEO-sH1FuwJgKBlQ,2013-05-07,kAFG3i8DsfTkJePPEMc9Ig,5,Bld8sdbL48rJzVXo4yMYWA,0,0,0
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,69,?,52,1,2,179,JwUE5GmEO-sH1FuwJgKBlQ,2013-07-20,ue3D7WBI4ZQxH43wMdpfcA,3,OtpHvQFGbZ4sONaQAXankg,0,0,0
2008-03-01,18,5,3,?,15,12,4,10,22,1,5,523,34,217,1,184,5,5,378,JwUE5GmEO-sH1FuwJgKBlQ,2013-10-28,DAFwq9T6sKDYiyQHiAzVbQ,5,nJ_6gzvBj0mF943eWZ0cSw,0,1,0
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,JwUE5GmEO-sH1FuwJgKBlQ,2014-03-13,PCa_K6ijV3Tzbp6nouEiJQ,4,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2011-06-01,?,?,?,?,?,0,?,?,?,?,4,3,?,1,?,1,?,?,1,JwUE5GmEO-sH1FuwJgKBlQ,2014-07-02,rYKHcfBvFjqd5qvbX700_Q,5,IXANAoF_6OOFdDwjpGZpQg,0,0,0
2014-07-01,?,?,?,?,?,0,?,?,?,?,5,1,?,0,?,0,?,?,0,JwUE5GmEO-sH1FuwJgKBlQ,2014-07-06,xpQe4tiCdZuQdmQsgtMErA,5,LDrpATl7viHfGGeUKzPeZA,0,0,0
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,rdAdANPNOcvUtoFgcaY9KA,2008-10-23,McrBBaa12WfHKTzOCCh7DA,4,ZYaumz29bl9qHpu-KVtMGA,4,3,3
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,_wZTYYL7cutanzAnJUTGMA,2011-04-23,sNvoG3jRINLU_63a9X-X9w,2,-hwN2juKYn-KTxa2WBYLnw,0,0,1
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,1tkeiIa-daD8LbM6mHm_9A,2014-01-02,VCNBsxepC6uWgREdLvhsdQ,1,RvweNJFVkR3ttkWsIBy7nQ,0,0,3
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,69,?,52,1,2,179,9brW55Vzyi3ItboHWfoepg,2013-07-30,fkFP5xIO9x7EwptpRcdAnQ,5,OtpHvQFGbZ4sONaQAXankg,0,1,1
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,x7pStpT09Tdc8d7oRU0Tmw,2014-02-27,PeKAIOslEcZjMCUMum3Nxg,4,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,KW6HejC-67KSL9J8Cz1dSw,2012-03-14,Nbh-oU01y_xG8ADSajQQpQ,2,-hwN2juKYn-KTxa2WBYLnw,0,0,0
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,3jpKGDkFrCHpjEYVEgcG0A,2014-02-27,5kss6UrkZtfo7zgD8ntIDQ,3,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,koRLvzIl-4fCybOIdk56jA,2009-08-14,ENQgulGSN9rYU9BlCtKM4Q,3,ZYaumz29bl9qHpu-KVtMGA,1,1,2
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,ckLRf3lYn9DxmNxd-mu2yA,2014-02-27,tbTwUKiF_JCscN9M4DDdXg,4,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,69,?,52,1,2,179,YaaQx4qt1f36iFT4TWivAw,2013-08-29,5oLxygfaHo2dMf9dbRxc4w,4,OtpHvQFGbZ4sONaQAXankg,0,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,X47o6R2rWiqGqvBtC7VS3Q,2011-12-08,fwCAxVEw2tUfaUVHjm6jow,3,-hwN2juKYn-KTxa2WBYLnw,0,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,6oDZ78JiSKjXVLcurCpnhw,2010-12-04,DRrtTDk74hAmnEeswaOsog,3,-hwN2juKYn-KTxa2WBYLnw,0,0,1
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,bMnr4RK5HEFvpuuxB5xRoA,2008-11-28,Rh-3nw36s6mSNK4Mr5iTug,4,ZYaumz29bl9qHpu-KVtMGA,1,4,1
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,24,?,14,1,?,67,NDAxF0_RCZBQedVO_d5WnA,2010-09-25,_0G7KGx5ZP8gEwknrzT68A,2,p4ySEi8PEli0auZGBsy6gA,0,0,0
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,24,?,14,1,?,67,yV-eB-pQVeWE7W-WPC8BUg,2014-05-07,bQcTBQShpFB7n8jVZBnJEg,5,p4ySEi8PEli0auZGBsy6gA,0,0,0
2011-07-01,15,4,4,1,26,4,31,17,32,?,3.61,336,20,316,1,207,?,2,737,jpxlSFhdrtbNyxS6vB036A,2013-08-17,AuwG2QKKmcz14rHzOzdwcA,3,bfww9ItvUBeRsFQ4UD4eaw,0,0,0
2008-07-01,?,?,?,?,?,1,?,?,?,?,4.5,8,1,3,?,4,?,?,5,oX6KamASYXnMIe5kpVhezw,2008-07-07,HUknZzW_qOuXz84tksY3_Q,4,zvNimI98mrmhgNOOrzOiGg,0,0,1
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,oX6KamASYXnMIe5kpVhezw,2014-06-11,sV-bopaZaIVM0z_MwReESQ,4,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,24,?,14,1,?,67,S4TWo9X6b3gU6uucj4JN3g,2009-07-20,DuFDzvtLcRql_XU-KB_WNA,4,p4ySEi8PEli0auZGBsy6gA,0,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,1hBOR97oX5Xph3J8Tdob7w,2012-05-25,4PUmcn16sr7-K1eyH9Putw,1,-hwN2juKYn-KTxa2WBYLnw,0,3,2
2009-03-01,1,1,?,?,?,3,1,?,3,?,4.03,101,64,24,?,14,1,?,67,0FdNeZAx-afgg8HV9oyqSw,2009-04-22,H9npQDdej7vHqx9s4JQTfg,3,p4ySEi8PEli0auZGBsy6gA,0,0,0
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,cpGv6ES2hzPCtCUQgipwXw,2008-10-17,fwO-CPsGR3q0UTHxIAPvxA,1,ZYaumz29bl9qHpu-KVtMGA,2,3,3
2008-07-01,?,?,?,?,?,1,?,?,?,?,4.5,8,1,3,?,4,?,?,5,cpGv6ES2hzPCtCUQgipwXw,2009-02-13,0K4d-t3n3VS721A8yDaAEg,5,zvNimI98mrmhgNOOrzOiGg,0,0,2
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,wPidHd5FxspPRgVqdEQ-Xw,2012-11-02,Y5hZUa7csY0oM3nxaFx-1A,2,-hwN2juKYn-KTxa2WBYLnw,0,1,0
2008-02-01,8,1,2,?,11,2,6,5,4,?,3.48,115,11,69,?,52,1,2,179,wPidHd5FxspPRgVqdEQ-Xw,2013-08-07,LlK1KNH-C9x95_UA5g8NiA,3,OtpHvQFGbZ4sONaQAXankg,1,0,0
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,pSiRWeCqs7a1xvS9ycLoTQ,2014-01-15,719-h8u4BFgZHF2jORQxrA,3,RvweNJFVkR3ttkWsIBy7nQ,1,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,QF14BFUVHRODxGNVflgm3A,2011-03-06,8sateabad7g2sH0rsPIqMw,3,-hwN2juKYn-KTxa2WBYLnw,0,0,0
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,-52nir13iFnSMdBew674HA,2013-12-07,3N0V-IcS8QJN7DgEGDDLTQ,3,RvweNJFVkR3ttkWsIBy7nQ,1,0,2
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,HTplzElel_F_U_qhWuDKdg,2013-12-07,JYDyMx59ZQr9zG8-_Xt9GQ,4,RvweNJFVkR3ttkWsIBy7nQ,5,0,6
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,QdSGdvZATzejDkSs435Rdw,2013-02-20,3-C4TopTszJPwktyFsM1hA,5,RvweNJFVkR3ttkWsIBy7nQ,0,0,2
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,QdSGdvZATzejDkSs435Rdw,2014-01-15,oTSeuwBY0GmftpRrGlkYyA,5,RvweNJFVkR3ttkWsIBy7nQ,0,0,0
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,MLD-FXAHLbdiHOcyeoW-Fg,2011-01-09,5IhSVu95KiheEcDoU8bFmw,1,-hwN2juKYn-KTxa2WBYLnw,0,1,5
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,JPFzpR5PvZWqHXQMIZFk2w,2011-03-06,M_UVATSAAsffMgWjxECCRw,5,-hwN2juKYn-KTxa2WBYLnw,0,0,0
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,fjaQ3Ixkofh8xGhklUtDnA,2008-06-04,FXRJiFITqmeG7QOCLARZ0g,3,ZYaumz29bl9qHpu-KVtMGA,2,2,3
2010-02-01,13,?,2,?,12,3,4,11,8,?,4.33,77,29,93,?,33,?,?,143,fjaQ3Ixkofh8xGhklUtDnA,2011-01-05,hF55w5cqNkvwwxHgKkRb2w,2,EEYwj6_t1OT5WQGypqEPNg,0,0,1
2008-10-01,1,1,1,?,2,2,?,?,3,?,3.88,79,?,22,?,12,?,?,72,fjaQ3Ixkofh8xGhklUtDnA,2011-02-06,u7B2CgXDrGFTS8-vd_ZgTg,3,qOYI9O0ecMJ9VaqcM9phNw,0,0,1
2010-02-01,13,?,2,?,12,3,4,11,8,?,4.33,77,29,93,?,33,?,?,143,fjaQ3Ixkofh8xGhklUtDnA,2011-03-21,VR4xh7NWCVQrw7cTJYAfwg,3,EEYwj6_t1OT5WQGypqEPNg,2,0,1
2010-10-01,5,2,?,?,4,4,3,?,2,1,3.32,380,6,90,?,136,?,3,450,fjaQ3Ixkofh8xGhklUtDnA,2012-03-30,c_kJ-hdP7zAIwDrB7drftg,4,-hwN2juKYn-KTxa2WBYLnw,1,0,1
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,fjaQ3Ixkofh8xGhklUtDnA,2014-05-19,-n-fBJ2ucPEtCMYLtOJm8g,5,RvweNJFVkR3ttkWsIBy7nQ,1,2,1
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,349,1,510,3,7,634,TLjnOhDnazyPJmI8LqU5-g,2009-05-04,pLx1yn_7v5Qjh2WsW80nIA,3,ZYaumz29bl9qHpu-KVtMGA,4,6,3
2008-05-01,12,2,3,?,14,8,12,10,22,1,3.24,288,34,141,?,94,3,1,419,IoPdC59QwkWYm31xPkwcPw,2014-05-06,NIsTeRxjweEAYghV3QTXhA,2,RvweNJFVkR3ttkWsIBy7nQ,0,0,1
